,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
const,0.46109318199588256,0.07766186605177404,5.937189066362252,4.0095309259815795e-09,0.3086922131172176,0.6134941508745475
electricity,-0.037674075041001745,0.033972650361176165,-1.1089530737365005,0.2677200136035991,-0.10434083304766317,0.028992682965659683
age,0.0006236952730796105,0.0016740807969423132,0.3725598395362887,0.7095558902243564,-0.002661463176050239,0.00390885372220946
education_code,0.008452030821112757,0.015720795530346946,0.5376337860763607,0.5909508494752203,-0.022397916420317594,0.03930197806254311
caste_OBC,-0.05915598935765039,0.04268995473449435,-1.385712159349074,0.16614720282370002,-0.14292928497465252,0.02461730625935174
caste_SC,-0.05014600019273186,0.04595080162978032,-1.0912976142778035,0.2754077336854766,-0.14031826935326522,0.0400262689678015
caste_ST,-0.11416390600560436,0.05201230600125592,-2.194940289762344,0.028399703895717006,-0.21623106240023146,-0.012096749610977259
state_Bihar,-0.06127441764582324,0.048144321211996036,-1.2727236796217536,0.20341522313047225,-0.15575117402227207,0.03320233873062557
state_Kerala,-0.038013218966306585,0.04894310570605639,-0.7766817903752826,0.437532246170394,-0.13405748249921356,0.0580310445666004
state_Maharashtra,-0.04265080764915646,0.050344161905039375,-0.847184778437779,0.39709709527681303,-0.14144445557151553,0.05614284027320262
state_UP,-0.06149947325578229,0.04636742471142597,-1.3263508516708162,0.18502971085201692,-0.15248930919043469,0.029490362678870098
